year,demography_median_age_world
1950,22.159
1951,22.123
1952,22.074
1953,22.011
1954,21.937
1955,21.839
1956,21.744
1957,21.639
1958,21.531
1959,21.471
1960,21.455
1961,21.444
1962,21.369
1963,21.201
1964,21.004
1965,20.811
1966,20.626
1967,20.481
1968,20.393
1969,20.333
1970,20.308
1971,20.32
1972,20.363
1973,20.433
1974,20.532
1975,20.659
1976,20.804
1977,20.967
1978,21.132
1979,21.295
1980,21.452
1981,21.589
1982,21.691
1983,21.78
1984,21.874
1985,22.005
1986,22.193
1987,22.388
1988,22.575
1989,22.751
1990,22.923
1991,23.1
1992,23.301
1993,23.52
1994,23.75
1995,23.98
1996,24.209
1997,24.438
1998,24.673
1999,24.907
2000,25.131
2001,25.34
2002,25.541
2003,25.737
2004,25.931
2005,26.123
2006,26.323
2007,26.533
2008,26.744
2009,26.953
2010,27.171
2011,27.392
2012,27.611
2013,27.83
2014,28.058
2015,28.296
2016,28.54
2017,28.786
2018,29.041
2019,29.305
2020,29.575
2021,29.833
2022,30.093
2023,30.364
