year,climate_methane_world
1850,1239419000
1851,1244062300
1852,1250699000
1853,1258197000
1854,1270692500
1855,1277153000
1856,1285794800
1857,1291702000
1858,1297421800
1859,1306546300
1860,1317403400
1861,1325746800
1862,1332229100
1863,1343454200
1864,1354043900
1865,1363889500
1866,1374183300
1867,1382202100
1868,1389073000
1869,1399244000
1870,1406298400
1871,1419828200
1872,1438483800
1873,1453709800
1874,1458429600
1875,1474561400
1876,1485311700
1877,1496817700
1878,1506982000
1879,1522502500
1880,1544166000
1881,1561768800
1882,1579737600
1883,1599376900
1884,1611351400
1885,1623198200
1886,1636285700
1887,1654794800
1888,1679946500
1889,1692236900
1890,1718415200
1891,1737446000
1892,1750336100
1893,1757746600
1894,1777387900
1895,1800447700
1896,1817200400
1897,1838673700
1898,1861349100
1899,1892904600
1900,1919446400
1901,1940271400
1902,1957993600
1903,1993062100
1904,2008754000
1905,2034716200
1906,2067421800
1907,2118715100
1908,2118961700
1909,2148511500
1910,2176739000
1911,2199417600
1912,2224523000
1913,2267487200
1914,2242119200
1915,2252632600
1916,2295853600
1917,2328266000
1918,2320688400
1919,2289866200
1920,2355954400
1921,2312747300
1922,2362890500
1923,2442977500
1924,2471417600
1925,2494910000
1926,2503081500
1927,2576853000
1928,2593703000
1929,2652586500
1930,2655138600
1931,2641023000
1932,2637263000
1933,2681514000
1934,2747974000
1935,2798581800
1936,2877570000
1937,2940398600
1938,2947509500
1939,3004824800
1940,3070731300
1941,3122709500
1942,3158670000
1943,3221970200
1944,3267549200
1945,3229961500
1946,3323815000
1947,3433029000
1948,3481768200
1949,3522193700
1950,3607456500
1951,3723339500
1952,3800598300
1953,3889637400
1954,3988856000
1955,4180017400
1956,4309005000
1957,4435850000
1958,4525489000
1959,4725665000
1960,4861831000
1961,4904216000
1962,4981430300
1963,5105290000
1964,5205581000
1965,5343486500
1966,5545598500
1967,5608186000
1968,5702289000
1969,5885070000
1970,6036887600
1971,6056770000
1972,6183963000
1973,6345583600
1974,6363316000
1975,6448271400
1976,6544579000
1977,6627558400
1978,6657351700
1979,6825825000
1980,6785667600
1981,6610779600
1982,6683251700
1983,6684615700
1984,6767443500
1985,6857224700
1986,6942079500
1987,7003950000
1988,7115852000
1989,7274316300
1990,7320985600
1991,7265909000
1992,7268790000
1993,7261674500
1994,7336296000
1995,7426246000
1996,7512808000
1997,7485230000
1998,7419233000
1999,7436038000
2000,7544741000
2001,7523762000
2002,7480677400
2003,7668747000
2004,7809036300
2005,7929648000
2006,8057692700
2007,8108338000
2008,8177437000
2009,8124256000
2010,8257109500
2011,8498255000
2012,8568391000
2013,8520598000
2014,8601788000
2015,8616349000
2016,8652835000
2017,8797017000
2018,8935430000
2019,9008441000
2020,8903343000
2021,9089303000
2022,9278556000
2023,9416929000
2024,9498914000
