year,violence_military_spending_world
1988,1759879600000
1989,1738658400000
1990,1673673200000
1992,1415484300000
1993,1355636000000
1994,1324154900000
1995,1252290300000
1996,1217819300000
1997,1223417900000
1998,1207501300000
1999,1228114100000
2000,1270780800000
2001,1297170600000
2002,1383414800000
2003,1490399400000
2004,1571750800000
2005,1640679600000
2006,1684908100000
2007,1751867900000
2008,1851979600000
2009,1980190800000
2010,2016221200000
2011,2015954000000
2012,1996039000000
2013,1948064000000
2014,1936202100000
2015,1960909900000
2016,1961752000000
2017,1982924200000
2018,2044621200000
2019,2131570000000
2020,2209744200000
2021,2227781800000
2022,2299338700000
2023,2453404600000
2024,2692307700000
2025,2771294000000
