year,technology_mobile_subscriptions_world
1980,0.00053235854
1981,0.0014908091
1982,0.0023355952
1983,0.0033919048
1984,0.0068745855
1985,0.015903398
1986,0.029605433
1987,0.05098624
1988,0.08511321
1989,0.14208968
1990,0.21159427
1991,0.30229914
1992,0.4277416
1993,0.6191753
1994,0.991495
1995,1.5862496
1996,2.4996634
1997,3.6552563
1998,5.333583
1999,8.123129
2005,33.9
2006,41.7
2007,50.6
2008,59.7
2009,68
2010,76.6
2011,84.2
2012,88.5
2013,93.1
2014,96.7
2015,96.1
2016,99.3
2017,101.4
2018,103.1
2019,105.9
2020,104.8
2021,106.7
2022,108
2023,109.8
2024,110.4
2025,111.5
