year,climate_n2o_world
1850,143745800
1851,146325340
1852,148848670
1853,151281000
1854,153587500
1855,155733440
1856,157684000
1857,159404380
1858,160859820
1859,162015540
1860,162836700
1861,163447620
1862,164004930
1863,164522380
1864,165013840
1865,165493060
1866,165973800
1867,166469870
1868,166995070
1869,167563200
1870,168188030
1871,170612910
1872,176099230
1873,183937920
1874,193419870
1875,203835980
1876,214477140
1877,224634260
1878,233598200
1879,240659950
1880,245110300
1881,247806910
1882,250130100
1883,252154940
1884,253956540
1885,255609970
1886,257190340
1887,258772690
1888,260432110
1889,262243710
1890,272135100
1891,275375740
1892,278739000
1893,282182100
1894,285662460
1895,289137440
1896,292564320
1897,295900480
1898,299103300
1899,302130050
1900,304938140
1901,307868670
1902,311228350
1903,314922980
1904,318858140
1905,322939680
1906,327073250
1907,331164640
1908,335119460
1909,338843550
1910,342242560
1911,346160300
1912,351324260
1913,357465920
1914,364316670
1915,371607870
1916,379070980
1917,386437400
1918,393438530
1919,399805760
1920,405270530
1921,410452300
1922,416041900
1923,421878080
1924,427799460
1925,433644800
1926,439252640
1927,444461700
1928,449110620
1929,453038140
1930,456082780
1931,458565400
1932,460978270
1933,463417660
1934,465979840
1935,468760960
1936,471857340
1937,475365120
1938,479380670
1939,484000060
1940,489319650
1941,506843300
1942,544782140
1943,598293250
1944,662533400
1945,732659700
1946,803829060
1947,871198460
1948,929924860
1949,975165300
1950,1002076700
1951,1018663740
1952,1036231200
1953,1054885760
1954,1074734300
1955,1095883500
1956,1118440400
1957,1142511500
1958,1168203800
1959,1195624000
1960,1224878600
1961,1296961300
1962,1341992000
1963,1386239100
1964,1436231200
1965,1493051500
1966,1556812000
1967,1613397200
1968,1665257100
1969,1704999400
1970,1731281300
1971,1719659600
1972,1780741400
1973,1838919000
1974,1852229000
1975,1906746600
1976,1955473900
1977,2001852000
1978,2040121100
1979,2098113200
1980,2117527200
1981,2069155100
1982,2127097700
1983,2165248500
1984,2177692000
1985,2176914200
1986,2184726300
1987,2231982600
1988,2229207000
1989,2249943600
1990,2266201900
1991,2263283500
1992,2271714000
1993,2256919800
1994,2286922500
1995,2342963200
1996,2393537000
1997,2350141700
1998,2378566000
1999,2398701300
2000,2390251000
2001,2385422600
2002,2402932200
2003,2419463200
2004,2487872800
2005,2510292000
2006,2546306300
2007,2612956000
2008,2582949000
2009,2552738000
2010,2617387000
2011,2703093200
2012,2717484500
2013,2700372200
2014,2733968100
2015,2741356000
2016,2759228400
2017,2814724400
2018,2814039000
2019,2819103700
2020,2852967000
2021,2895432400
2022,2881229600
2023,2911154200
2024,2935778600
