year,demography_net_migration_rate_high_income
1950,-0.239
1951,-0.42
1952,-0.314
1953,0.318
1954,-0.147
1955,0.021
1956,-0.126
1957,0.59
1958,0.205
1959,0.431
1960,0.502
1961,0.341
1962,0.778
1963,0.666
1964,2.186
1965,1.176
1966,1.22
1967,-0.905
1968,1.561
1969,1.78
1970,1.443
1971,2.385
1972,2.025
1973,1.913
1974,1.403
1975,0.886
1976,1.091
1977,1.025
1978,1.062
1979,1.201
1980,1.682
1981,1.031
1982,0.736
1983,0.922
1984,0.801
1985,1.188
1986,1.504
1987,1.521
1988,1.864
1989,2.127
1990,1.702
1991,3.154
1992,2.899
1993,2.305
1994,2.545
1995,1.727
1996,2.22
1997,2.023
1998,1.505
1999,2.534
2000,2.864
2001,3.293
2002,3.822
2003,3.811
2004,3.768
2005,3.834
2006,3.74
2007,4.965
2008,4.355
2009,3.499
2010,3.567
2011,4.158
2012,3.824
2013,3.903
2014,4.177
2015,4.947
2016,4.187
2017,3.133
2018,3.295
2019,3.785
2020,1.265
2021,2.184
2022,7.542
2023,3.973
2024,2.751
