year,demography_net_migration_rate_low_income
1950,-2.407
1951,-2.159
1952,-2.082
1953,-2.229
1954,-1.831
1955,-1.596
1956,-1.409
1957,-1.367
1958,-1.909
1959,-1.128
1960,-0.844
1961,-0.48
1962,-0.662
1963,-0.59
1964,-0.271
1965,-0.205
1966,-0.125
1967,0.089
1968,-0.023
1969,-0.44
1970,-0.477
1971,-1.177
1972,-1.655
1973,0.071
1974,-0.695
1975,-0.88
1976,-1.467
1977,-3.254
1978,1.99
1979,-2.615
1980,-9.73
1981,-8.177
1982,-0.886
1983,-1.002
1984,0.238
1985,-1.6
1986,-2.034
1987,-2.266
1988,-2.257
1989,-1.762
1990,-4.662
1991,-1.665
1992,2.998
1993,1.846
1994,0.335
1995,0.237
1996,-0.647
1997,-1.533
1998,-0.187
1999,-1.119
2000,-3.79
2001,-1.284
2002,1.012
2003,-0.595
2004,-1.312
2005,-0.126
2006,0.48
2007,-1.063
2008,-1.072
2009,-0.78
2010,-1.279
2011,-1.026
2012,-2.68
2013,-4.313
2014,-3.384
2015,-3.061
2016,-0.588
2017,-0.819
2018,0.894
2019,0.4
2020,0.536
2021,-0.969
2022,-0.384
2023,0.049
2024,-0.199
