year,demography_net_migration_rate_lower_middle_income
1950,0.365
1951,0.569
1952,0.551
1953,0.072
1954,0.398
1955,0.295
1956,0.372
1957,-0.42
1958,0.251
1959,0.184
1960,-0.007
1961,0.027
1962,-0.321
1963,-0.25
1964,-0.343
1965,-0.393
1966,-0.621
1967,-0.1
1968,-0.951
1969,-0.989
1970,-0.375
1971,-1.025
1972,-0.641
1973,-0.82
1974,-0.359
1975,0.016
1976,-0.281
1977,-0.09
1978,-0.84
1979,0.108
1980,0.635
1981,0.97
1982,-0.094
1983,-0.347
1984,-0.537
1985,-0.264
1986,-0.453
1987,-0.327
1988,-0.515
1989,-0.53
1990,0.285
1991,-0.571
1992,-0.495
1993,-1.211
1994,-0.73
1995,-0.465
1996,-0.494
1997,-0.178
1998,-0.175
1999,-0.603
2000,-0.437
2001,-0.88
2002,-1.866
2003,-1.088
2004,-0.889
2005,-1.355
2006,-0.696
2007,-1.061
2008,-1.425
2009,-1.187
2010,-1.083
2011,-1.19
2012,-1.353
2013,-0.989
2014,-1.214
2015,-1.652
2016,-1.337
2017,-1.323
2018,-1.405
2019,-1.272
2020,-0.653
2021,-0.605
2022,-3.008
2023,-1.256
2024,-0.708
