year,demography_net_migration_rate_upper_middle_income
1950,0.119
1951,0.072
1952,0.004
1953,-0.06
1954,-0.016
1955,-0.076
1956,-0.049
1957,0.055
1958,-0.117
1959,-0.302
1960,-0.235
1961,-0.193
1962,-0.186
1963,-0.169
1964,-1.092
1965,-0.412
1966,-0.265
1967,0.619
1968,-0.213
1969,-0.253
1970,-0.509
1971,-0.458
1972,-0.47
1973,-0.46
1974,-0.422
1975,-0.383
1976,-0.209
1977,-0.095
1978,-0.164
1979,-0.406
1980,-0.179
1981,-0.295
1982,-0.196
1983,-0.064
1984,0.003
1985,-0.172
1986,-0.105
1987,-0.176
1988,-0.173
1989,-0.34
1990,-0.426
1991,-0.778
1992,-1.364
1993,-0.28
1994,-0.592
1995,-0.425
1996,-0.488
1997,-0.54
1998,-0.505
1999,-0.419
2000,-0.28
2001,-0.449
2002,-0.109
2003,-0.57
2004,-0.604
2005,-0.364
2006,-1.083
2007,-0.97
2008,-0.298
2009,-0.191
2010,-0.215
2011,-0.406
2012,0.283
2013,0.229
2014,0.177
2015,0.264
2016,-0.191
2017,0.528
2018,0.364
2019,-0.018
2020,0.227
2021,0.079
2022,0.228
2023,-0.303
2024,-0.319
