year,violence_nuclear_warheads_world
1945,6
1946,11
1947,32
1948,110
1949,236
1950,374
1951,665
1952,1055
1953,1557
1954,2218
1955,3267
1956,5094
1957,7162
1958,10751
1959,16606
1960,22144
1961,26752
1962,30920
1963,33953
1964,36553
1965,38419
1966,39466
1967,39990
1968,39015
1969,38278
1970,38799
1971,40616
1972,43026
1973,45695
1974,47182
1975,47769
1976,47698
1977,49698
1978,51170
1979,53499
1980,55352
1981,56530
1982,58570
1983,60818
1984,62678
1985,64408
1986,70374
1987,68387
1988,65623
1989,63657
1990,61229
1991,58326
1992,52463
1993,48830
1994,45580
1995,42366
1996,39484
1997,36776
1998,35387
1999,34677
2000,34004
2001,33190
2002,31902
2003,30820
2004,29627
2005,28358
2006,27061
2007,25533
2008,23855
2009,22524
2010,21234
2011,20035
2012,18855
2013,17680
2014,16370
2015,15795
2016,15228
2017,14540
2018,14470
2019,13865
2020,13145
2021,13100
2022,12705
2023,12512
2024,12121
2025,12241
2026,12187
