year,water_open_defecation_world
2000,21.9637522394107
2001,21.2362753467055
2002,19.9930250206746
2003,19.3210449568961
2004,18.6161205131621
2005,17.8924553732137
2006,17.0744547481682
2007,16.353558309669
2008,15.608057342181
2009,14.8804022475134
2010,14.1553378322974
2011,13.5141714052592
2012,12.7838392335352
2013,12.0548752895194
2014,11.3213033217092
2015,10.641384417809
2016,9.8651327906228
2017,9.27282629210641
2018,8.54188256494731
2019,7.81915058475867
2020,7.09879397211719
2021,6.39622845801938
2022,5.71773594739963
2023,4.946669758336
2024,4.34965950164471
