year,science_works_open_access_share_world
1900,27
1901,28.8
1902,28.3
1903,29.3
1904,29.1
1905,28.7
1906,29.5
1907,30.6
1908,30.8
1909,30.1
1910,27
1911,27.6
1912,28.5
1913,27.4
1914,28.8
1915,29.5
1916,29.4
1917,29.1
1918,29
1919,28.7
1920,27.6
1921,28.9
1922,28.2
1923,18.6
1924,18.3
1925,17.8
1926,18.1
1927,18.8
1928,18.3
1929,17.9
1930,18.2
1931,17.8
1932,18.7
1933,18.3
1934,19.2
1935,19.5
1936,18.6
1937,18.4
1938,18.3
1939,18.4
1940,16
1941,19
1942,19.8
1943,20.3
1944,19.8
1945,16.9
1946,15.3
1947,14.9
1948,15.2
1949,15.6
1950,14.2
1951,15.4
1952,15.1
1953,16.2
1954,16.4
1955,16.3
1956,16.4
1957,16.5
1958,16.3
1959,16.6
1960,15.6
1961,15.9
1962,15.4
1963,15
1964,14.8
1965,14.7
1966,14.1
1967,14.2
1968,13.9
1969,14.9
1970,16.1
1971,13.8
1972,13.9
1973,13.5
1974,13.9
1975,13.5
1976,13.8
1977,14
1978,14.1
1979,14.4
1980,13.9
1981,14.3
1982,14.4
1983,14.4
1984,14.6
1985,14.5
1986,14.2
1987,14.4
1988,14.3
1989,14.3
1990,14.1
1991,14.3
1992,14.5
1993,15
1994,15.2
1995,15.3
1996,15.7
1997,16.1
1998,16.4
1999,16.5
2000,17.2
2001,16.6
2002,15.8
2003,16.8
2004,17.1
2005,18
2006,18.4
2007,19.1
2008,20
2009,21.5
2010,21.9
2011,22.8
2012,24.8
2013,27
2014,28.1
2015,31.5
2016,33.9
2017,36.1
2018,40.3
2019,43.1
2020,48.8
2021,55.2
2022,61.3
2023,62.1
2024,61.1
