year,economy_poor_count_420_world
1981,2563.9493399999997
1982,2609.3795769999997
1983,2654.8354529999997
1984,2694.52203
1985,2728.6518109999997
1986,2746.275165
1987,2802.095917
1988,2828.138137
1989,2897.045233
1990,2947.10817
1991,2997.537745
1992,3033.488223
1993,3073.029811
1994,3086.561956
1995,3077.7836159999997
1996,3076.2451969999997
1997,3087.324286
1998,3130.0374229999998
1999,3168.759984
2000,3135.706659
2001,3118.51682
2002,3073.898733
2003,3022.810013
2004,2950.594166
2005,2872.8904119999997
2006,2811.4021519999997
2007,2730.051533
2008,2682.31075
2009,2634.634564
2010,2508.5373139999997
2011,2384.756833
2012,2295.641924
2013,2128.289894
2014,2049.210714
2015,1955.02559
2016,1871.0839529999998
2017,1798.646424
2018,1719.0655419999998
2019,1669.542404
2020,1736.9666929999999
2021,1698.751575
2022,1641.11527
2023,1583.882111
2024,1541.1173549999999
2025,1503.0268629999998
2026,1467.545279
