year,economy_poor_count_afe
1981,142.01482099999998
1982,147.355011
1983,153.73719
1984,160.863442
1985,167.763017
1986,171.46196899999998
1987,174.919751
1988,179.948014
1989,184.49203
1990,192.027999
1991,201.361312
1992,210.608341
1993,219.419804
1994,225.006611
1995,229.29376499999998
1996,232.741346
1997,238.45985499999998
1998,246.577732
1999,252.407167
2000,256.196873
2001,258.989216
2002,269.469622
2003,272.874116
2004,264.32320899999996
2005,262.56458
2006,264.42713
2007,265.045754
2008,268.153783
2009,274.852451
2010,273.267783
2011,276.04878199999996
2012,277.906861
2013,281.601698
2014,287.551568
2015,296.615863
2016,307.840218
2017,318.880424
2018,330.812211
2019,343.106634
2020,363.762572
2021,373.853169
2022,379.345145
2023,388.894033
2024,396.68102799999997
2025,399.557478
2026,401.956148
