year,economy_poor_count_afw
1981,89.16899
1982,94.728439
1983,102.169332
1984,105.92326
1985,106.949659
1986,110.794344
1987,115.590167
1988,119.32121599999999
1989,124.60055899999999
1990,128.59079599999998
1991,134.789625
1992,140.723562
1993,145.64151099999998
1994,150.241174
1995,155.059498
1996,158.419424
1997,160.704182
1998,163.026357
1999,166.209625
2000,169.05446
2001,169.477928
2002,167.826817
2003,169.039222
2004,167.305552
2005,168.987799
2006,170.448667
2007,172.32983099999998
2008,170.968312
2009,172.46080999999998
2010,168.719046
2011,169.10388899999998
2012,167.775581
2013,166.51126299999999
2014,164.592065
2015,168.51630799999998
2016,167.36257799999998
2017,163.179509
2018,159.08490899999998
2019,156.74571799999998
2020,173.987629
2021,180.265727
2022,182.517731
2023,186.178533
2024,185.447485
2025,185.764094
2026,184.636577
