year,economy_poor_count_eas
1981,1218.4482189999999
1982,1225.510421
1983,1226.455057
1984,1211.522248
1985,1196.859297
1986,1186.266723
1987,1161.991798
1988,1114.81484
1989,1215.647516
1990,1218.386337
1991,1217.186896
1992,1204.1379689999999
1993,1189.78385
1994,1134.6428449999999
1995,1081.893978
1996,1022.3707509999999
1997,1019.4717469999999
1998,1038.215864
1999,997.689623
2000,955.1366539999999
2001,911.5035959999999
2002,835.149922
2003,762.155267
2004,697.097724
2005,616.601891
2006,596.286912
2007,541.906935
2008,510.615345
2009,469.612492
2010,417.489378
2011,340.581378
2012,297.894582
2013,203.76261399999999
2014,177.298304
2015,139.37832
2016,116.215927
2017,96.55490499999999
2018,77.153466
2019,60.958285
2020,64.525474
2021,62.251884
2022,57.382152999999995
2023,52.108585
2024,47.161466999999995
2025,42.482718999999996
2026,39.145722
