year,economy_poor_count_ecs
1981,31.934665
1982,32.112327
1983,31.614960999999997
1984,32.019864999999996
1985,32.460432
1986,32.793915
1987,32.993565
1988,32.179643
1989,32.834149
1990,34.177374
1991,38.558102
1992,47.02946
1993,52.240801999999995
1994,65.12262
1995,62.596295999999995
1996,64.224594
1997,58.798947
1998,60.814921
1999,75.735579
2000,66.0273
2001,60.177687999999996
2002,53.599326999999995
2003,51.823816
2004,44.568397999999995
2005,44.087648
2006,38.77737
2007,35.567291
2008,33.007734
2009,33.198259
2010,33.578393
2011,32.431846
2012,32.663349
2013,9.967756
2014,10.920520999999999
2015,10.94791
2016,9.014038
2017,9.062096
2018,7.659152
2019,7.101979
2020,7.83256
2021,7.397799999999999
2022,6.965593999999999
2023,6.053099
2024,5.255665
2025,4.918127999999999
2026,4.706106999999999
