year,economy_poor_count_lcn
1981,73.48753599999999
1982,77.577749
1983,91.128626
1984,91.7316
1985,87.312657
1986,68.001601
1987,81.229402
1988,84.908366
1989,83.280362
1990,91.356504
1991,90.119537
1992,92.328148
1993,93.73305099999999
1994,92.13197799999999
1995,89.183835
1996,97.213402
1997,96.589765
1998,96.841884
1999,99.766612
2000,94.032231
2001,94.40025399999999
2002,91.43839899999999
2003,89.775258
2004,83.800264
2005,79.01388
2006,67.37219999999999
2007,61.199216
2008,56.911137
2009,55.298474999999996
2010,49.829682
2011,45.88465
2012,45.071540999999996
2013,41.424583999999996
2014,39.728899999999996
2015,37.425667
2016,38.812021
2017,38.814299
2018,38.738944
2019,39.614487
2020,37.592965
2021,40.575371
2022,32.966612999999995
2023,30.404069
2024,28.352762
2025,27.439861
2026,27.040592999999998
