year,economy_poor_count_mea
1981,110.588574
1982,112.217725
1983,113.698747
1984,115.397134
1985,117.532877
1986,120.572875
1987,124.637638
1988,126.773612
1989,130.185013
1990,131.180985
1991,126.027245
1992,114.440663
1993,118.172017
1994,110.12084
1995,111.24134
1996,103.931871
1997,104.677154
1998,109.227806
1999,113.112538
2000,117.92858199999999
2001,124.528629
2002,125.203454
2003,117.84075299999999
2004,108.209651
2005,104.786352
2006,100.55847
2007,97.688729
2008,87.820082
2009,93.287336
2010,83.52856
2011,82.90735699999999
2012,80.252173
2013,77.63274799999999
2014,78.231268
2015,78.66528699999999
2016,80.20487899999999
2017,79.494154
2018,80.754048
2019,86.431466
2020,95.334803
2021,103.132161
2022,105.281908
2023,110.818141
2024,116.84864499999999
2025,121.27727999999999
2026,122.061404
