year,economy_poor_count_nac
1981,1.480494
1982,1.838512
1983,1.7030219999999998
1984,1.5672679999999999
1985,1.5637219999999998
1986,1.673889
1987,1.4148399999999999
1988,1.27993
1989,1.459906
1990,1.511132
1991,1.6533639999999998
1992,1.674926
1993,1.8850099999999999
1994,1.956836
1995,1.8544589999999999
1996,1.78898
1997,2.022423
1998,2.350298
1999,2.028475
2000,2.114127
2001,2.6057379999999997
2002,2.494456
2003,2.923752
2004,3.051827
2005,3.029064
2006,3.096694
2007,3.0381
2008,3.299865
2009,2.947351
2010,3.4572439999999998
2011,3.33757
2012,3.3978599999999997
2013,3.43248
2014,4.139602
2015,3.920582
2016,3.741128
2017,4.154336
2018,3.617479
2019,3.3179369999999997
2020,1.122734
2021,1.009587
2022,4.492741
2023,4.060493
2024,3.5769729999999997
2025,3.5780429999999996
2026,3.577844
