year,economy_poor_count_sas
1981,461.54179999999997
1982,458.47382
1983,440.208083
1984,449.558565
1985,458.8074
1986,470.65367699999996
1987,486.51771599999995
1988,496.067914
1989,499.829793
1990,503.36171099999996
1991,513.6964409999999
1992,517.332756
1993,519.468257
1994,522.5333979999999
1995,529.299958
1996,536.2340439999999
1997,546.1036829999999
1998,555.725544
1999,561.8521499999999
2000,570.413595
2001,579.996304
2002,589.71597
2003,594.613661
2004,596.5053809999999
2005,583.847534
2006,556.720478
2007,528.5869749999999
2008,517.992023
2009,493.32016899999996
2010,439.272995
2011,403.480637
2012,374.341837
2013,342.16652
2014,304.43013099999996
2015,263.319703
2016,223.46616699999998
2017,187.85821099999998
2018,158.02452
2019,139.890354
2020,152.221028
2021,128.661609
2022,101.009429
2023,77.74241099999999
2024,63.438117999999996
2025,52.191935
2026,42.8988
