year,economy_poor_count_ssf
1981,231.183811
1982,242.08345
1983,255.906521
1984,266.786702
1985,274.712677
1986,282.256313
1987,290.50991799999997
1988,299.26923
1989,309.092589
1990,320.618795
1991,336.150937
1992,351.331903
1993,365.061315
1994,375.24778399999997
1995,384.353262
1996,391.16076999999996
1997,399.164037
1998,409.604089
1999,418.616793
2000,425.251333
2001,428.46714399999996
2002,437.29643899999996
2003,441.91333799999995
2004,431.628761
2005,431.552379
2006,434.875797
2007,437.375585
2008,439.122094
2009,447.31326099999995
2010,441.986829
2011,445.152671
2012,445.682442
2013,448.112961
2014,452.14363299999997
2015,465.13217099999997
2016,475.202796
2017,482.059933
2018,489.89712099999997
2019,499.852352
2020,537.750202
2021,554.118896
2022,561.862876
2023,575.0725659999999
2024,582.128513
2025,585.321572
2026,586.592725
