year,economy_poor_count_world
1981,2128.6650999999997
1982,2149.814002
1983,2160.715017
1984,2168.583382
1985,2169.249062
1986,2162.218993
1987,2179.294877
1988,2155.293534
1989,2272.329328
1990,2300.592838
1991,2323.392522
1992,2328.2758249999997
1993,2340.344302
1994,2301.756302
1995,2260.423128
1996,2216.924412
1997,2226.8277559999997
1998,2272.7804069999997
1999,2268.8017689999997
2000,2230.903823
2001,2201.679354
2002,2134.897967
2003,2061.0458439999998
2004,1964.8620059999998
2005,1862.9187479999998
2006,1797.687919
2007,1705.362831
2008,1648.76828
2009,1594.977343
2010,1469.143081
2011,1353.776107
2012,1279.303784
2013,1126.499662
2014,1066.892359
2015,998.78964
2016,946.6569549999999
2017,897.997933
2018,855.8447299999999
2019,837.1668609999999
2020,896.3797659999999
2021,897.147308
2022,869.9613129999999
2023,856.259363
2024,846.7621429999999
2025,837.209539
2026,826.023194
