year,demography_pop_growth_rate_proj_world
2024,0.858
2025,0.841
2026,0.83
2027,0.812
2028,0.795
2029,0.779
2030,0.764
2031,0.748
2032,0.732
2033,0.717
2034,0.701
2035,0.686
2036,0.671
2037,0.654
2038,0.639
2039,0.623
2040,0.607
2041,0.59
2042,0.573
2043,0.556
2044,0.538
2045,0.519
2046,0.5
2047,0.481
2048,0.461
2049,0.441
2050,0.421
2051,0.401
2052,0.382
2053,0.363
2054,0.344
2055,0.327
2056,0.311
2057,0.295
2058,0.28
2059,0.266
2060,0.253
2061,0.241
2062,0.229
2063,0.218
2064,0.208
2065,0.197
2066,0.188
2067,0.177
2068,0.167
2069,0.157
2070,0.147
2071,0.136
2072,0.125
2073,0.115
2074,0.103
2075,0.092
2076,0.081
2077,0.069
2078,0.058
2079,0.046
2080,0.035
2081,0.025
2082,0.015
2083,0.005
2084,-0.004
2085,-0.013
2086,-0.021
2087,-0.029
2088,-0.037
2089,-0.045
2090,-0.052
2091,-0.059
2092,-0.067
2093,-0.074
2094,-0.082
2095,-0.09
2096,-0.097
2097,-0.105
2098,-0.112
2099,-0.119
2100,-0.127
