year,demography_pop_growth_rate_world
1950,1.738
1951,1.747
1952,1.935
1953,1.9
1954,1.993
1955,2.011
1956,1.978
1957,2.073
1958,1.997
1959,1.729
1960,1.584
1961,1.665
1962,2.112
1963,2.283
1964,2.159
1965,2.088
1966,2.039
1967,1.997
1968,2.093
1969,2.056
1970,2.056
1971,1.972
1972,1.971
1973,1.938
1974,1.883
1975,1.803
1976,1.776
1977,1.745
1978,1.744
1979,1.786
1980,1.801
1981,1.816
1982,1.855
1983,1.783
1984,1.797
1985,1.799
1986,1.829
1987,1.836
1988,1.785
1989,1.778
1990,1.758
1991,1.628
1992,1.568
1993,1.517
1994,1.466
1995,1.449
1996,1.419
1997,1.393
1998,1.365
1999,1.345
2000,1.353
2001,1.326
2002,1.304
2003,1.287
2004,1.283
2005,1.272
2006,1.277
2007,1.28
2008,1.282
2009,1.282
2010,1.269
2011,1.256
2012,1.267
2013,1.233
2014,1.216
2015,1.178
2016,1.166
2017,1.125
2018,1.068
2019,1.027
2020,0.902
2021,0.801
2022,0.875
2023,0.871
