year,demography_population_high_world
2024,8169247456
2025,8253432834
2026,8337053643
2027,8420062971.000001
2028,8502231504.000001
2029,8588039203
2030,8677546006
2031,8766330167
2032,8854369578
2033,8941670516
2034,9031302635
2035,9123257568
2036,9214458221
2037,9304834389
2038,9394334752
2039,9482928305
2040,9570588758
2041,9657260057
2042,9742890987
2043,9827524555
2044,9911189437
2045,9993894546
2046,10075693427
2047,10156636956
2048,10236784947
2049,10316236895
2050,10395097515
2051,10473491425
2052,10551537828
2053,10629359835
2054,10707047859
2055,10784725952
2056,10862541321
2057,10940561577
2058,11018837820
2059,11097431026
2060,11176387175
2061,11255717095
2062,11335434752
2063,11415533436
2064,11495960716
2065,11576641089
2066,11657497528
2067,11738439509
2068,11819366292
2069,11900194862
2070,11980868841
2071,12061357990
2072,12141592170
2073,12221527652
2074,12301155572
2075,12380462237
2076,12459471224
2077,12538218490
2078,12616723668
2079,12695036110
2080,12773252911
2081,12851458279
2082,12929772409
2083,13008278141
2084,13087028318
2085,13166095095
2086,13245528740
2087,13325376875
2088,13405676480
2089,13486446757
2090,13567675639
2091,13649344743
2092,13731412011
2093,13813803869
2094,13896460405
2095,13979316911
2096,14062334746
2097,14145488972
2098,14228706026
2099,14311945102
2100,14395160444
