year,demography_population_low_world
2024,8154697457
2025,8209792256
2026,8264300965
2027,8318123308
2028,8371006530
2029,8418519563.999999
2030,8460679168
2031,8501897197.000001
2032,8542111873
2033,8581302825.999999
2034,8616410209
2035,8647393041
2036,8677255875
2037,8705932008
2038,8733388082
2039,8759604707
2040,8784545440
2041,8808117784
2042,8830205416
2043,8850761874
2044,8869695398
2045,8886862952
2046,8902152852
2047,8915444159
2048,8926617409
2049,8935584436
2050,8942254548
2051,8946555644
2052,8948421230
2053,8947805560
2054,8944659466
2055,8938992423
2056,8930870711
2057,8920330174
2058,8907420180
2059,8892217767
2060,8874814746
2061,8855309412
2062,8833815675
2063,8810441758
2064,8785273903
2065,8758394639
2066,8729894522
2067,8699840123
2068,8668272074
2069,8635234129
2070,8600768565
2071,8564913835.999999
2072,8527665011
2073,8489020101
2074,8448989856.000001
2075,8407565131.999999
2076,8364746422
2077,8320537846
2078,8274930735
2079,8227933268
2080,8179580336
2081,8129905278
2082,8078966410
2083,8026798071
2084,7973430770
2085,7918911108
2086,7863279062
2087,7806578035
2088,7748850426
2089,7690133429
2090,7630453728
2091,7569846562
2092,7508333500
2093,7445923786
2094,7382643888
2095,7318517929
2096,7253588602
2097,7187907240
2098,7121510266
2099,7054458020
2100,6986813938
