year,demography_population_proj_world
2024,8161972574
2025,8231613067
2026,8300678396
2027,8369094344
2028,8436618881
2029,8503285316
2030,8569124917
2031,8634119328
2032,8698229811
2033,8761449082
2034,8823784910
2035,8885210180
2036,8945686621
2037,9005152615
2038,9063572924
2039,9120928368
2040,9177190199
2041,9232281571
2042,9286110373
2043,9338661313
2044,9389873693
2045,9439639664
2046,9487889603
2047,9534545979
2048,9579536037
2049,9622824030
2050,9664378585
2051,9704192294
2052,9742264517
2053,9778614615
2054,9813251657
2055,9846237566
2056,9877680389
2057,9907637192
2058,9936164376
2059,9963337084
2060,9989232293
2061,10013916203
2062,10037466594
2063,10059950036
2064,10081402737
2065,10101849558
2066,10121317108
2067,10139808356
2068,10157301940
2069,10173782133
2070,10189241950
2071,10203681571
2072,10217055171
2073,10229327828
2074,10240485058
2075,10250496436
2076,10259351438
2077,10267045018
2078,10273556322
2079,10278887467
2080,10283078027
2081,10286161733
2082,10288205059
2083,10289247324
2084,10289315239
2085,10288456610
2086,10286708355
2087,10284111371
2088,10280704579
2089,10276518274
2090,10271565066
2091,10265861714
2092,10259408378
2093,10252184759
2094,10244185834
2095,10235403600
2096,10225850873
2097,10215549308
2098,10204489860
2099,10192689070
2100,10180160744
