year,demography_population_world
1950,2493092852
1951,2536927034
1952,2584086340
1953,2634106241
1954,2685894857
1955,2740213796
1956,2795409991
1957,2852618331
1958,2911249671
1959,2965950350
1960,3015470889
1961,3064869675
1962,3123374312
1963,3192807826
1964,3264487343
1965,3334533710
1966,3404041131
1967,3473412877
1968,3545187246
1969,3619491581
1970,3694683794
1971,3769847867
1972,3844917684
1973,3920805041
1974,3996416100
1975,4070735279
1976,4144246382
1977,4217863796
1978,4292097499
1979,4368539520
1980,4447606240
1981,4528777306
1982,4612673415
1983,4697327573
1984,4782175518
1985,4868943457
1986,4958072839
1987,5049746390
1988,5141992540
1989,5234431736
1990,5327803106
1991,5418735886
1992,5505989815
1993,5591544802
1994,5675551258
1995,5758878977
1996,5842055730
1997,5924787819
1998,6007066691
1999,6089006328
2000,6171702992
2001,6254936464
2002,6337730343
2003,6420361633
2004,6503377774
2005,6586970132
2006,6671452019
2007,6757308776
2008,6844457659
2009,6932766416
2010,7021732143
2011,7110923773
2012,7201202478
2013,7291793585
2014,7381616239
2015,7470491876
2016,7558554527
2017,7645617952
2018,7729902779
2019,7811293699
2020,7887001289
2021,7954448387
2022,8021407196
2023,8091734933
