year,economy_poverty_300_eas
1990,67.02768802642822
1991,66.00116491317749
1992,64.42428827285767
1993,62.84317970275879
1994,59.17644500732422
1995,55.733680725097656
1996,52.03354358673096
1997,51.27953290939331
1998,51.64113640785217
1999,49.12519156932831
2000,46.588632464408875
2001,44.062045216560364
2002,40.03317952156067
2003,36.24543845653534
2004,32.901400327682495
2005,28.886428475379944
2006,27.72538959980011
2007,25.00670552253723
2008,23.38547259569168
2009,21.35428488254547
2010,18.851566314697266
2011,15.26704877614975
2012,13.245166838169098
2013,8.987919241189957
2014,7.761312276124954
2015,6.057703495025635
2016,5.015628412365913
2017,4.137815162539482
2018,3.286515921354294
2019,2.5832384824752808
2020,2.7232592925429344
2021,2.621002122759819
2022,2.4114027619361877
2023,2.1853581070899963
2024,1.974671520292759
2025,1.777791976928711
2026,1.6372213140130043
