year,economy_poverty_300_lcn
1990,20.71772664785385
1991,20.06540149450302
1992,20.192259550094604
1993,20.143534243106842
1994,19.464696943759918
1995,18.529433012008667
1996,19.870488345623016
1997,19.430768489837646
1998,19.17841136455536
1999,19.45788562297821
2000,18.073663115501404
2001,17.893320322036743
2002,17.101147770881653
2003,16.57460629940033
2004,15.279316902160645
2005,14.233638346195221
2006,11.993227899074554
2007,10.767965018749237
2008,9.899160265922546
2009,9.51145589351654
2010,8.478004485368729
2011,7.7235594391822815
2012,7.506664842367172
2013,6.82804062962532
2014,6.482653319835663
2015,6.0474347323179245
2016,6.212529540061951
2017,6.156944110989571
2018,6.093154847621918
2019,6.180470064282417
2020,5.8238685131073
2021,6.24970979988575
2022,5.047650262713432
2023,4.623373597860336
2024,4.28168922662735
2025,4.11638431251049
2026,4.030847921967506
