year,economy_poverty_300_sas
1990,49.67563450336456
1991,49.62971806526184
1992,48.94004464149475
1993,48.13205301761627
1994,47.44672477245331
1995,47.11104929447174
1996,46.79185748100281
1997,46.73041105270386
1998,46.64451777935028
1999,46.27101123332977
2000,46.10574543476105
2001,46.02600932121277
2002,45.978713035583496
2003,45.587047934532166
2004,44.98699903488159
2005,43.34794282913208
2006,40.72013199329376
2007,38.111481070518494
2008,36.840301752090454
2009,34.60996747016907
2010,30.40021061897278
2011,27.553141117095947
2012,25.232788920402527
2013,22.78585433959961
2014,20.030416548252106
2015,17.127932608127594
2016,14.36978131532669
2017,11.946313083171844
2018,9.943872690200806
2019,8.713667839765549
2020,9.39013808965683
2021,7.870244979858398
2022,6.129177287220955
2023,4.6760085970163345
2024,3.781966120004654
2025,3.0836736783385277
2026,2.5123147293925285
