year,economy_poverty_300_ssf
1990,61.501967906951904
1991,62.759023904800415
1992,63.84671330451965
1993,64.54741358757019
1994,64.60856795310974
1995,64.44746851921082
1996,63.85735869407654
1997,63.474851846694946
1998,63.42548727989197
1999,63.11529874801636
2000,62.43366003036499
2001,61.24559044837952
2002,60.84868311882019
2003,59.85421538352966
2004,56.894081830978394
2005,55.35099506378174
2006,54.27336096763611
2007,53.10760736465454
2008,51.86541676521301
2009,51.39480233192444
2010,49.402403831481934
2011,48.410990834236145
2012,47.163644433021545
2013,46.138569712638855
2014,45.3067421913147
2015,45.367634296417236
2016,45.13600766658783
2017,44.596296548843384
2018,44.134995341300964
2019,43.87303590774536
2020,46.00026607513428
2021,46.21462821960449
2022,45.7093209028244
2023,45.6446647644043
2024,45.08971571922302
2025,44.249194860458374
2026,43.28920543193817
