year,economy_poverty_300_world
1990,43.41358244419098
1991,43.117642402648926
1992,42.50909388065338
1993,42.05637872219086
1994,40.73289930820465
1995,39.40418362617493
1996,38.07438015937805
1997,37.688758969306946
1998,37.91733682155609
1999,37.32561469078064
2000,36.20489239692688
2001,35.2544367313385
2002,33.739686012268066
2003,32.15485215187073
2004,30.262309312820435
2005,28.329738974571228
2006,26.992404460906982
2007,25.285276770591736
2008,24.138276278972626
2009,23.06017130613327
2010,20.98396122455597
2011,19.10192221403122
2012,17.825224995613098
2013,15.503941476345062
2014,14.507512748241425
2015,13.421565294265747
2016,12.573675811290741
2017,11.79322600364685
2018,11.11886128783226
2019,10.763254761695862
2020,11.411947757005692
2021,11.326881498098373
2022,10.88874638080597
2023,10.618219524621964
2024,10.40017232298851
2025,10.196655988693237
2026,9.975934773683548
