year,economy_poverty_gap_afe
1981,27.92
1982,28.23
1983,28.89
1984,29.509999999999998
1985,30.009999999999998
1986,29.630000000000003
1987,29.28
1988,29.330000000000002
1989,28.99
1990,29.509999999999998
1991,30.930000000000003
1992,31.97
1993,32.46
1994,32.78
1995,32.37
1996,31.71
1997,31.72
1998,32.06
1999,31.65
2000,31.319999999999997
2001,30.61
2002,30.59
2003,29.74
2004,27.73
2005,26.450000000000003
2006,25.61
2007,24.32
2008,23.51
2009,23.62
2010,22.36
2011,21.81
2012,20.82
2013,20.27
2014,20.16
2015,20.31
2016,20.75
2017,21.04
2018,21.25
2019,21.58
2020,22.58
2021,22.31
2022,21.88
2023,21.55
2024,21.46
2025,20.990000000000002
2026,20.49
