year,economy_poverty_gap_afw
1981,25.130000000000003
1982,26.150000000000002
1983,27.889999999999997
1984,28.33
1985,27.52
1986,27.96
1987,28.689999999999998
1988,28.749999999999996
1989,29.53
1990,29.95
1991,30.880000000000003
1992,31.680000000000003
1993,31.5
1994,31.730000000000004
1995,31.669999999999998
1996,31.319999999999997
1997,30.459999999999997
1998,29.509999999999998
1999,28.749999999999996
2000,28.29
2001,26.72
2002,24.94
2003,23.87
2004,22.45
2005,21.67
2006,20.830000000000002
2007,20.13
2008,18.78
2009,18.240000000000002
2010,16.689999999999998
2011,15.959999999999999
2012,15.17
2013,14.530000000000001
2014,13.8
2015,13.76
2016,12.98
2017,12.02
2018,11.110000000000001
2019,10.5
2020,11.559999999999999
2021,11.68
2022,11.41
2023,11.33
2024,10.92
2025,10.59
2026,10.2
