year,economy_poverty_gap_eas
1981,43.13
1982,41.18
1983,38.61
1984,34.72
1985,32.49
1986,31.019999999999996
1987,29.099999999999998
1988,26.200000000000003
1989,30.9
1990,30.070000000000004
1991,29.330000000000002
1992,28.28
1993,27.26
1994,24.2
1995,21.86
1996,19.81
1997,19.77
1998,20.48
1999,18.75
2000,17.5
2001,16.28
2002,14.29
2003,12.27
2004,10.61
2005,8.73
2006,8.44
2007,7.48
2008,6.959999999999999
2009,6.2
2010,5.3100000000000005
2011,4.1000000000000005
2012,3.44
2013,1.91
2014,1.59
2015,1.21
2016,0.97
2017,0.7799999999999999
2018,0.65
2019,0.5599999999999999
2020,0.6
2021,0.59
2022,0.53
2023,0.48
2024,0.43
2025,0.4
2026,0.37
