year,economy_poverty_gap_ecs
1981,1.27
1982,1.27
1983,1.26
1984,1.29
1985,1.3
1986,1.34
1987,1.38
1988,1.32
1989,1.3299999999999998
1990,1.38
1991,1.54
1992,1.91
1993,2.11
1994,2.59
1995,2.63
1996,2.7
1997,2.62
1998,2.6599999999999997
1999,3.25
2000,3.0700000000000003
2001,2.83
2002,2.56
2003,2.55
2004,2.25
2005,2.2399999999999998
2006,2.0500000000000003
2007,1.8800000000000001
2008,1.76
2009,1.7399999999999998
2010,1.7399999999999998
2011,1.67
2012,1.6400000000000001
2013,0.37
2014,0.44999999999999996
2015,0.44
2016,0.38999999999999996
2017,0.38
2018,0.31
2019,0.29
2020,0.33
2021,0.33
2022,0.33
2023,0.3
2024,0.26
2025,0.25
2026,0.25
