year,economy_poverty_gap_lcn
1981,8.01
1982,8.290000000000001
1983,9.76
1984,9.53
1985,8.83
1986,6.4399999999999995
1987,7.89
1988,8.38
1989,8.110000000000001
1990,8.66
1991,8.35
1992,8.43
1993,8.41
1994,8.09
1995,7.57
1996,8.42
1997,8.290000000000001
1998,8.19
1999,8.33
2000,7.6899999999999995
2001,7.470000000000001
2002,6.800000000000001
2003,6.59
2004,5.9799999999999995
2005,5.74
2006,4.71
2007,4.02
2008,3.64
2009,3.46
2010,3.08
2011,2.82
2012,2.69
2013,2.3800000000000003
2014,2.22
2015,2.0500000000000003
2016,2.18
2017,2.1999999999999997
2018,2.19
2019,2.2399999999999998
2020,2.1
2021,2.27
2022,1.79
2023,1.63
2024,1.49
2025,1.4500000000000002
2026,1.4200000000000002
