year,economy_poverty_gap_mea
1981,16.32
1982,15.939999999999998
1983,15.479999999999999
1984,15.22
1985,14.829999999999998
1986,14.42
1987,14.219999999999999
1988,13.88
1989,13.76
1990,13.450000000000001
1991,11.219999999999999
1992,8.97
1993,8.790000000000001
1994,7.32
1995,7.3999999999999995
1996,6.140000000000001
1997,5.92
1998,6.43
1999,6.63
2000,6.75
2001,6.959999999999999
2002,6.69
2003,5.8999999999999995
2004,5.12
2005,4.75
2006,4.3
2007,3.92
2008,3.3300000000000005
2009,3.46
2010,2.91
2011,2.8400000000000003
2012,2.6599999999999997
2013,2.54
2014,2.53
2015,2.63
2016,2.74
2017,2.71
2018,2.7199999999999998
2019,2.88
2020,3.3000000000000003
2021,3.6700000000000004
2022,3.71
2023,3.91
2024,4.12
2025,4.2700000000000005
2026,4.2700000000000005
