year,economy_poverty_gap_nac
1981,0.36
1982,0.44999999999999996
1983,0.42
1984,0.37
1985,0.36
1986,0.42
1987,0.32
1988,0.29
1989,0.33999999999999997
1990,0.33999999999999997
1991,0.38
1992,0.36
1993,0.44
1994,0.44
1995,0.43
1996,0.42
1997,0.47000000000000003
1998,0.53
1999,0.45999999999999996
2000,0.48
2001,0.59
2002,0.5499999999999999
2003,0.67
2004,0.7000000000000001
2005,0.69
2006,0.7000000000000001
2007,0.6799999999999999
2008,0.74
2009,0.63
2010,0.74
2011,0.7000000000000001
2012,0.72
2013,0.7100000000000001
2014,0.8699999999999999
2015,0.8
2016,0.7799999999999999
2017,0.86
2018,0.73
2019,0.66
2020,0.21
2021,0.21
2022,0.8999999999999999
2023,0.8099999999999999
2024,0.7000000000000001
2025,0.7000000000000001
2026,0.69
