year,economy_poverty_gap_sas
1981,16.57
1982,15.809999999999999
1983,14.37
1984,14.180000000000001
1985,13.969999999999999
1986,13.91
1987,14.04
1988,13.86
1989,13.450000000000001
1990,13.089999999999998
1991,12.93
1992,12.55
1993,12.1
1994,11.77
1995,11.600000000000001
1996,11.469999999999999
1997,11.44
1998,11.39
1999,11.26
2000,11.19
2001,11.14
2002,11.1
2003,10.93
2004,10.69
2005,10.100000000000001
2006,9.22
2007,8.4
2008,8
2009,7.35
2010,6.23
2011,5.42
2012,4.82
2013,4.22
2014,3.58
2015,2.97
2016,2.42
2017,1.95
2018,1.5699999999999998
2019,1.35
2020,1.47
2021,1.2
2022,0.9199999999999999
2023,0.69
2024,0.5499999999999999
2025,0.44
2026,0.35000000000000003
