year,economy_poverty_gap_ssf
1981,26.779999999999998
1982,27.38
1983,28.48
1984,29.03
1985,28.999999999999996
1986,28.96
1987,29.04
1988,29.099999999999998
1989,29.21
1990,29.69
1991,30.91
1992,31.86
1993,32.07
1994,32.36
1995,32.09
1996,31.55
1997,31.209999999999997
1998,31.03
1999,30.48
2000,30.09
2001,29.04
2002,28.310000000000002
2003,27.36
2004,25.590000000000003
2005,24.51
2006,23.669999999999998
2007,22.61
2008,21.58
2009,21.43
2010,20.05
2011,19.43
2012,18.52
2013,17.93
2014,17.57
2015,17.64
2016,17.580000000000002
2017,17.36
2018,17.119999999999997
2019,17.07
2020,18.11
2021,18
2022,17.64
2023,17.419999999999998
2024,17.2
2025,16.79
2026,16.34
