year,economy_poverty_gap_world
1981,22.42
1982,21.69
1983,20.75
1984,19.41
1985,18.54
1986,17.83
1987,17.34
1988,16.36
1989,17.91
1990,17.669999999999998
1991,17.37
1992,16.96
1993,16.59
1994,15.479999999999999
1995,14.62
1996,13.86
1997,13.8
1998,14.09
1999,13.55
2000,13.04
2001,12.509999999999998
2002,11.68
2003,10.83
2004,9.9
2005,9.030000000000001
2006,8.540000000000001
2007,7.85
2008,7.41
2009,7.03
2010,6.3
2011,5.67
2012,5.220000000000001
2013,4.38
2014,4.130000000000001
2015,3.93
2016,3.7800000000000002
2017,3.63
2018,3.5000000000000004
2019,3.4799999999999995
2020,3.7199999999999998
2021,3.74
2022,3.65
2023,3.5999999999999996
2024,3.56
2025,3.52
2026,3.46
