year,economy_poverty_rate_420_world
1981,56.74
1982,56.71000000000001
1983,56.67
1984,56.52
1985,56.230000000000004
1986,55.60000000000001
1987,55.720000000000006
1988,55.25
1989,55.61000000000001
1990,55.61000000000001
1991,55.63
1992,55.379999999999995
1993,55.22
1994,54.620000000000005
1995,53.65
1996,52.83
1997,52.25
1998,52.22
1999,52.129999999999995
2000,50.89
2001,49.94
2002,48.58
2003,47.160000000000004
2004,45.440000000000005
2005,43.69
2006,42.21
2007,40.48
2008,39.269999999999996
2009,38.09
2010,35.83
2011,33.650000000000006
2012,31.990000000000002
2013,29.29
2014,27.860000000000003
2015,26.27
2016,24.85
2017,23.62
2018,22.33
2019,21.46
2020,22.11
2021,21.45
2022,20.54
2023,19.64
2024,18.93
2025,18.310000000000002
2026,17.72
