year,education_primary_enrollment_ecs
1999,106.351379394531
2000,104.001197814941
2001,104.970207214355
2002,105.540267944336
2003,104.293769836426
2004,103.689987182617
2005,102.640342712402
2006,102.209281921387
2007,101.992767333984
2008,101.62899017334
2009,101.233612060547
2010,101.274749755859
2011,101.192428588867
2012,101.023292541504
2013,102.128631591797
2014,101.195068359375
2015,100.50414276123
2016,100.152008056641
2017,99.9920501708984
2018,100.49089050293
2019,100.92504119873
2020,100.668319702148
2021,100.687881469727
2022,100.426940917969
2023,100.080513000488
2024,99.9414596557617
