year,education_primary_enrollment_lcn
1993,110.123229980469
1994,111.270561218262
1995,105.419166564941
1996,106.083976745605
1997,113.496803283691
1998,107.703437805176
1999,116.415557861328
2000,115.673156738281
2001,114.882301330566
2002,114.836166381836
2003,113.822761535645
2004,114.052032470703
2005,113.428680419922
2006,109.354698181152
2007,113.001747131348
2008,112.473052978516
2009,112.463836669922
2010,111.409637451172
2011,110.549781799316
2012,109.402587890625
2013,110.243026733398
2014,109.37109375
2015,108.312019348145
2016,107.620933532715
2017,107.052093505859
2018,106.677040100098
2019,106.588180541992
2020,105.879936218262
2021,105.08177947998
2022,105.029968261719
2023,104.617652893066
2024,104.589141845703
