year,education_primary_enrollment_sas
1999,96.4870529174805
2000,98.6156616210938
2001,96.9547424316406
2002,97.6312637329102
2003,104.661209106445
2004,106.247352600098
2005,107.856147766113
2006,109.757987976074
2007,111.125106811523
2008,111.084480285645
2009,110.484977722168
2010,110.696907043457
2011,109.978492736816
2012,111.911849975586
2013,113.485366821289
2014,111.840263366699
2015,112.902671813965
2016,118.426078796387
2017,117.016357421875
2018,102.812812805176
2019,101.631233215332
2020,103.280586242676
2021,104.279281616211
2022,111.832740783691
2023,112.759391784668
2024,119.026802062988
