year,education_primary_completion_ecs
1999,97.1303100585938
2000,97.3538284301758
2001,99.3740005493164
2002,99.3903503417969
2003,98.5974426269531
2004,99.0057067871094
2005,99.5256423950195
2006,98.1020965576172
2007,98.0316619873047
2008,98.2174072265625
2009,97.8002777099609
2010,97.3700408935547
2011,97.8459930419922
2012,97.7609405517578
2013,97.5356979370117
2014,97.1073989868164
2015,97.2375793457031
2016,100.999397277832
2017,96.5846099853516
2018,95.9205322265625
2019,97.2024230957031
2020,97.6201705932617
2021,98.0449523925781
2022,97.7124786376953
2023,98.0974426269531
2024,98.1316833496094
