year,violence_refugees_world
1960,150000
1961,302000
1962,322000
1963,353000
1964,1700690
1965,1950280
1966,2106230
1967,953900
1968,1097220
1969,1069810
1970,1107290
1971,1168800
1972,1241720
1973,1029750
1974,1103330
1975,1600010
1976,1789270
1977,2330585
1978,3190760
1979,4357560
1980,6841149
1981,8024548
1982,8586816
1983,8752423
1984,9046128
1985,9920200
1986,10121909
1987,10779142
1988,11971305
1989,12166810
1990,14769941
1991,14504416
1992,14575432
1993,13978289
1994,13846234
1995,12597159
1996,11796356
1997,10798692
1998,10266191
1999,10244574
2000,10835562
2001,10844654
2002,9941068
2003,8941598
2004,8950588
2005,8251618
2006,9424467
2007,10997020
2008,10078044
2009,9977456
2010,10166436
2011,10063988
2012,10170625
2013,11507042
2014,14194448
2015,15899050
2016,16946348
2017,19638247
2018,20041353
2019,20118962
2020,20381512
2021,20822349
2022,29231257
2023,31363566
2024,30685940
