year,science_rnd_spend_gdp_eas
1996,2.17761443314041
1997,2.25214497778863
1998,2.22079097045838
1999,2.288901550475
2000,2.22442001684859
2001,2.26863159534657
2002,2.23314774390592
2003,2.31372662972767
2004,2.29927188339166
2005,2.37837722354987
2006,2.37772218171407
2007,2.32588386210695
2008,2.330543317584
2009,2.22701159799564
2010,2.37373106141804
2011,2.3067710341572
2012,2.45499343291055
2013,2.25056072360497
2014,2.4389074305372
2015,2.28933572378617
2016,2.30472981167949
2017,2.28399081096573
2018,2.32085667275762
2019,2.32957147134111
2020,2.50323850077846
2021,2.57205418314088
2022,2.71253063573246
2023,2.77406822897594
