year,science_rnd_spend_gdp_ecs
1996,1.64326625360466
1997,1.62715657014693
1998,1.60349554824485
1999,1.69516897290422
2000,1.67878499623728
2001,1.71534768555397
2002,1.6912991800277
2003,1.71603136140949
2004,1.69134392915077
2005,1.6447015009439
2006,1.65209336726618
2007,1.65344011169618
2008,1.71527088339972
2009,1.8036180455987
2010,1.76647784144021
2011,1.77159110025242
2012,1.81723615382646
2013,1.79773098143248
2014,1.91794146817744
2015,1.98775650317511
2016,1.97279323775483
2017,2.02510689906049
2018,2.06378144595511
2019,2.12007796926895
2020,2.18713670492678
2021,2.16704280794657
2022,2.05698807855607
2023,2.13845186931503
