year,science_rnd_spend_gdp_lcn
2000,0.557752048764381
2001,0.531209434870493
2002,0.515535075661751
2003,0.551266318675802
2004,0.55592988039945
2005,0.582452904899722
2006,0.582094999520354
2007,0.619133393636029
2008,0.666022186905574
2009,0.692091552827602
2010,0.732677551470128
2011,0.70786630394583
2012,0.680400758148014
2013,0.712889181246214
2014,0.753268869497852
2015,0.728873304585058
2016,0.687370764809588
2017,0.64722954965131
2018,0.638189976830421
2019,0.626039588392781
2020,0.644650990671841
2021,0.617669418317626
2022,0.657505378381314
2023,0.682501882174588
