year,water_safe_drinking_water_ecs
2000,86.4559301766412
2001,86.5775219193867
2002,86.7532329862862
2003,86.9357293514377
2004,87.3054685113201
2005,88.3955628825605
2006,88.7389845659972
2007,89.0824190669177
2008,89.414510855728
2009,89.7320262071637
2010,90.0217982847391
2011,90.3053869151768
2012,90.5745110635602
2013,90.8504097109291
2014,91.0074039369026
2015,91.1611974987203
2016,91.3683085773326
2017,91.5805550293614
2018,91.7738396471301
2019,91.9686375240446
2020,92.1151976445653
2021,92.2171286282724
2022,92.3150246129194
2023,92.3941362840581
2024,92.468529296819
