year,water_safe_drinking_water_lcn
2000,70.1685494175443
2001,70.4507209209059
2002,70.7254492995936
2003,70.993017833328
2004,71.2547751238559
2005,71.8798887263683
2006,72.1355825948023
2007,72.38980789347
2008,72.6787550646707
2009,72.9634384273025
2010,73.2465584109128
2011,73.5250368290662
2012,73.7840455938117
2013,74.2585126478819
2014,74.7307997203692
2015,75.1997125597017
2016,75.6589907146912
2017,76.1029641963286
2018,76.5598774160341
2019,77.0085602308529
2020,77.4501062396327
2021,77.8606346351087
2022,78.2336120966396
2023,78.6261737468404
2024,78.9601794459191
