year,water_safe_drinking_water_sas
2000,41.0414002827735
2001,42.3387305615407
2002,43.6712969398121
2003,45.0149672750992
2004,46.3694526498138
2005,47.8320836297037
2006,49.3154920002066
2007,50.8090289921688
2008,52.312642790202
2009,53.8240460739803
2010,55.3436208870871
2011,56.873835758716
2012,58.4168751999494
2013,59.9705807877529
2014,61.5347356742574
2015,63.108644558754
2016,64.6907078532209
2017,66.2802218670174
2018,67.8769128877962
2019,69.480735456421
2020,71.0903353119232
2021,72.7058981854924
2022,74.3252481732266
2023,75.9444675309209
2024,77.5514601972461
