year,water_safe_drinking_water_ssf
2000,17.856326781895
2001,18.1091421890453
2002,18.5192166070637
2003,18.9399975195089
2004,19.4120380523365
2005,19.9171130147852
2006,20.4568131398885
2007,21.0153218711181
2008,21.6325387480417
2009,22.2734813638215
2010,22.93561238194
2011,23.3717627087886
2012,24.0748999934765
2013,24.8047438261228
2014,25.56843630039
2015,26.3712135529902
2016,27.1641610478154
2017,27.9519746885603
2018,28.8053120992734
2019,29.6556392322913
2020,30.3699925927884
2021,30.9229549205143
2022,31.4368144934526
2023,31.9349755285214
2024,32.4155533520093
