year,climate_sea_level_world
1880,0
1881,0.56000000014
1882,-1.1199999977400001
1883,-0.58999999856
1884,1.4999999972
1885,1.34999999748
1886,1.10999999996
1887,0.54999999982
1888,0.75999999892
1889,0.91999999896
1890,1.1199999977400001
1891,0.94999999992
1892,1.26999999746
1893,1.73999999726
1894,0.7699999992400001
1895,1.9499999989
1896,1.18999999998
1897,1.70999999884
1898,2.6499999984400002
1899,3.3999999970399997
1900,2.85999999754
1901,2.81999999626
1902,3.27999999574
1903,4.079999995940001
1904,3.0499999960000004
1905,2.4999999987200003
1906,3.1799999976200004
1907,3.03999999568
1908,2.78999999784
1909,3.239999997
1910,3.2299999966799997
1911,4.0599999953
1912,3.7499999955399996
1913,3.92999999622
1914,4.55999999606
1915,5.3499999934
1916,5.15999999494
1917,4.70999999578
1918,4.54999999574
1919,4.70999999578
1920,4.83999999486
1921,5.04999999396
1922,4.95999999616
1923,5.0799999949200005
1924,4.34999999442
1925,4.54999999574
1926,5.1999999936800005
1927,5.08999999524
1928,4.69999999546
1929,4.83999999486
1930,5.23999999496
1931,5.1999999936800005
1932,5.76999999414
1933,6.19999999266
1934,5.65999999316
1935,6.2199999933
1936,5.82999999352
1937,6.39999999398
1938,6.65999999214
1939,7.17999999354
1940,6.64999999436
1941,7.8699999927599995
1942,7.8699999927599995
1943,7.8699999927599995
1944,7.229999992600001
1945,7.5099999914
1946,8.25999999254
1947,8.5699999923
1948,9.04999998988
1949,8.919999990800001
1950,9.13999999022
1951,10.089999990139999
1952,9.82999998944
1953,10.26999998828
1954,9.97999998916
1955,10.069999989500001
1956,9.55999999096
1957,10.899999988120001
1958,11.03999998752
1959,11.06999998848
1960,11.43999998762
1961,12.05999998714
1962,11.53999998828
1963,11.37999998824
1964,10.58999998836
1965,11.70999998864
1966,11.16999998914
1967,11.30999998854
1968,11.389999988560001
1969,12.069999987460001
1970,11.879999989
1971,12.39999998786
1972,13.309999986500001
1973,12.70999998762
1974,13.899999985060001
1975,13.73999998502
1976,13.6399999869
1977,13.469999986540001
1978,14.1099999867
1979,13.61999998626
1980,14.21999998514
1981,15.45999998418
1982,14.87999998594
1983,15.71999998488
1984,15.62999998454
1985,14.5999999846
1986,14.659999983979999
1987,14.7199999859
1988,15.1899999857
1989,15.639999984860001
1990,15.8699999846
1991,16.11999998244
1992,16.18999998468
1993,16.0243606868
1994,16.4730967972
1995,17.03433985302
1996,17.38719401904
1997,17.7764579065
1998,17.68452040686
1999,17.60996485112
2000,18.01752040634
2001,18.54777734938
2002,18.73195512682
2003,19.05374748806
2004,19.23579401754
2005,19.59938221086
2006,19.82204123722
2007,19.82114540462
2008,20.22019332128
2009,20.58422883654
2010,20.73750452948
2011,20.56592516474
2012,21.57161365628
2013,21.8089398466
2014,22.141978736019997
2015,23.01520790142
2016,23.35174748488
2017,23.47682833708
2018,23.72383290022
2019,24.36959678776
2020,24.63768012256
2021,25.11218637192
2022,25.33576534056
2023,25.917917226800004
