year,education_secondary_enrollment_ecs
1999,94.1346664428711
2000,95.2436599731445
2001,96.9802398681641
2002,98.0451431274414
2003,98.739990234375
2004,96.467643737793
2005,96.1891174316406
2006,96.7032089233398
2007,97.109733581543
2008,97.6943511962891
2009,97.5254592895508
2010,99.2390975952148
2011,99.5089569091797
2012,99.0625915527344
2013,104.560623168945
2014,104.894180297852
2015,104.618797302246
2016,104.274139404297
2017,105.108917236328
2018,104.914413452148
2019,104.735778808594
2020,103.197662353516
2021,103.049743652344
2022,103.31950378418
2023,102.803550720215
2024,103.311096191406
