year,education_secondary_enrollment_sas
1999,45.0820808410645
2000,47.5083808898926
2001,47.4841194152832
2002,49.3626518249512
2003,51.5610618591309
2004,52.7400093078613
2005,54.9015197753906
2006,55.623348236084
2007,57.7001304626465
2008,60.2229614257812
2009,59.9533882141113
2010,63.2981491088867
2011,65.2862091064453
2012,67.8703536987305
2013,68.1029891967773
2014,72.9314117431641
2015,72.9351806640625
2016,74.687141418457
2017,73.4670028686523
2018,75.0400314331055
2019,74.9521636962891
2020,77.0081481933594
2021,79.3212738037109
2022,79.9404983520508
2023,77.9340286254883
2024,76.874153137207
