year,demography_sex_ratio_birth_azerbaijan
1950,106.4
1951,106.4
1952,106.4
1953,106.4
1954,106.4
1955,106.4
1956,106.4
1957,106.4
1958,106.4
1959,106.4
1960,106.4
1961,106.4
1962,106.4
1963,106.4
1964,106.4
1965,106.3
1966,106.3
1967,106.3
1968,106.3
1969,106.4
1970,106.4
1971,106.4
1972,106.4
1973,106.4
1974,106.4
1975,106.4
1976,106.4
1977,106.4
1978,106.4
1979,106.4
1980,106.4
1981,106.4
1982,106.4
1983,106.4
1984,106.4
1985,106.5
1986,106.4
1987,106.4
1988,106.5
1989,106.6
1990,106.7
1991,106.9
1992,107.4
1993,108
1994,109
1995,110.1
1996,111.1
1997,112.2
1998,113.3
1999,114.4
2000,115.3
2001,116
2002,116.5
2003,116.7
2004,116.8
2005,116.8
2006,116.8
2007,116.8
2008,116.8
2009,116.7
2010,116.5
2011,116.2
2012,115.9
2013,115.5
2014,115.1
2015,114.6
2016,114.3
2017,114
2018,113.8
2019,113.4
2020,113
2021,112.6
2022,112.2
2023,111.8
2024,111.3
