year,demography_sex_ratio_birth_china
1950,106.1
1951,106.1
1952,106.1
1953,106.1
1954,106.1
1955,106.1
1956,106.1
1957,106.1
1958,106.1
1959,106.1
1960,106.1
1961,106.1
1962,106.2
1963,106.2
1964,106.2
1965,106.2
1966,106.2
1967,106.3
1968,106.3
1969,106.3
1970,106.4
1971,106.4
1972,106.4
1973,106.4
1974,106.5
1975,106.6
1976,106.7
1977,106.8
1978,106.9
1979,107
1980,107.1
1981,107.3
1982,107.5
1983,107.8
1984,108.1
1985,108.6
1986,109.1
1987,109.7
1988,110.4
1989,111.1
1990,111.8
1991,112.5
1992,113.2
1993,113.9
1994,114.6
1995,115.2
1996,115.7
1997,116.2
1998,116.6
1999,116.9
2000,117.2
2001,117.4
2002,117.6
2003,117.7
2004,117.8
2005,117.8
2006,117.8
2007,117.7
2008,117.5
2009,117.4
2010,117.1
2011,116.8
2012,116.4
2013,116
2014,115.5
2015,115
2016,114.5
2017,113.3
2018,113.9
2019,113.9
2020,111.2
2021,110.4
2022,110.6
2023,110.8
2024,110.3
