year,demography_sex_ratio_birth_india
1950,105.1
1951,105.1
1952,105.1
1953,105.2
1954,105.2
1955,105.1
1956,105.2
1957,105.1
1958,105.1
1959,105.2
1960,105.2
1961,105.2
1962,105.2
1963,105.2
1964,105.2
1965,105.2
1966,105.3
1967,105.3
1968,105.3
1969,105.4
1970,105.5
1971,105.5
1972,105.6
1973,105.6
1974,105.8
1975,105.9
1976,106.2
1977,106.2
1978,106.3
1979,106.5
1980,106.7
1981,106.9
1982,106.8
1983,106.8
1984,106.9
1985,106.8
1986,106.8
1987,106.9
1988,106.9
1989,106.7
1990,106.9
1991,107.3
1992,107.6
1993,107.9
1994,108.4
1995,108.9
1996,109
1997,109.2
1998,109.3
1999,109.3
2000,109.5
2001,109.3
2002,109.1
2003,109.3
2004,109.4
2005,109.4
2006,109.3
2007,109.3
2008,109.4
2009,109.5
2010,109.6
2011,109.5
2012,109.2
2013,109.1
2014,109.1
2015,109
2016,108.8
2017,108.6
2018,108.4
2019,108.2
2020,107.9
2021,107.7
2022,107.5
2023,107.3
2024,107.1
