year,demography_sex_ratio_birth_south_korea
1950,106.2
1951,106.3
1952,106.3
1953,106.3
1954,106.3
1955,106.3
1956,106.3
1957,106.3
1958,106.2
1959,106.2
1960,106.2
1961,106.2
1962,106.2
1963,106.2
1964,106.2
1965,106.2
1966,106.2
1967,106.2
1968,106.2
1969,106.1
1970,106.1
1971,106.1
1972,106.1
1973,106.1
1974,106.1
1975,106.1
1976,106.1
1977,106.1
1978,106.1
1979,106.1
1980,106.1
1981,107.4
1982,107.3
1983,107.7
1984,108.7
1985,109.7
1986,111.2
1987,110.2
1988,112.7
1989,112.8
1990,115.7
1991,113
1992,113.8
1993,115.2
1994,115
1995,113.2
1996,111.5
1997,108.9
1998,110
1999,109.7
2000,110
2001,109.3
2002,109.7
2003,108.8
2004,108.2
2005,107.8
2006,107.4
2007,106.4
2008,106.3
2009,106.4
2010,106.6
2011,105.8
2012,105.7
2013,105.4
2014,105.3
2015,105.3
2016,105.2
2017,106.1
2018,105.5
2019,105.6
2020,105.7
2021,105.7
2022,105.8
2023,105.8
2024,105.9
